Player,G,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FT%,FTAPG,Player_URL
Jesper Hallberg,29,45.0,35,61,57.4,15,50,30.0,63.6,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707384?
Pierre Hampton,39,53.7,128,212,60.4,45,110,40.9,86.9,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693027?
Daniel Hansson,41,41.5,23,64,35.9,97,225,43.1,71.4,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692928?
Gustav Hansson,42,44.3,187,371,50.4,68,205,33.2,84.1,6.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693047?
Travis Henson,41,50.3,117,187,62.6,71,187,38.0,86.1,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306597?
Mattias Herlitz,33,49.1,54,110,49.1,30,61,49.2,61.5,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693840?
Isaiah Hill,30,42.4,67,139,48.2,19,64,29.7,67.6,3.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306041?
Mio Hjalmarsson,16,21.7,2,11,18.2,3,12,25.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707379?
Shane Hunter,39,64.9,215,323,66.6,1,10,10.0,79.4,4.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310232?
Bryan Jefferson,9,50.0,36,61,59.0,13,37,35.1,71.4,3.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312118?
Vilhelm Jennlinger,3,0.0,0,0,0.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834481?
Adam Johansson,33,37.5,68,155,43.9,42,138,30.4,82.6,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693044?
Anton Johansson,28,37.5,15,27,55.6,15,53,28.3,81.8,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832273?
David Johansson,28,27.8,6,20,30.0,16,59,27.1,100.0,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1699979?
Ludvig Johansson,42,42.6,56,117,47.9,82,207,39.6,80.6,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693826?
Brandon Johns Jr,38,57.9,271,441,61.5,12,48,25.0,71.9,4.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306596?
Matthew Johnson II,10,49.0,37,66,56.1,14,38,36.8,89.3,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311113?
Tim Jonsson,22,37.5,8,21,38.1,10,27,37.0,70.0,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695750?
Mass Jonsson Samateh,5,10.0,1,4,25.0,0,6,0.0,75.0,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832129?
Erik Juhlin,14,35.7,1,1,100.0,4,13,30.8,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692613?
Henrik Jädersten,35,44.1,70,130,53.8,45,131,34.4,70.5,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693867?
Noel Karlsson Rask,5,100.0,1,1,100.0,0,0,0.0,50.0,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833265?
Alexander Karras,27,39.7,30,54,55.6,43,130,33.1,72.1,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693049?
Keonte Kennedy,15,39.5,50,104,48.1,14,58,24.1,72.0,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305691?
Herman Kihlman,5,33.3,4,6,66.7,0,6,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707621?
Omar Krayem,19,46.8,66,112,58.9,42,119,35.3,76.5,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305693?
Filip Larsson,7,0.0,0,1,0.0,0,3,0.0,0.0,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832284?
Niklas Larsson,34,42.5,115,237,48.5,52,156,33.3,75.7,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692991?
